"Id","App #","Language","Behavior Type","Key","Type","Translation","Has Child","Parent","Value"
"546","7","1","0","162-8.au","2","Please confirm:<br>No service is required today.
","false",,
"547","7","1","0","173A.au","1","You performed an approved above scope service
","false","538","9"
"548","7","1","0","162-9.au","2","Please confirm:<br>You performed an approved above scope service
","false",,
"549","7","1","0","083.au","1","Level Three","false",,
"551","7","1","0","129B.au","1","You performed a Snow Removal or Ice Control service
","false","550","1"
"552","7","1","0","083-1.au","2","Please confirm:<br>You performed a Snow Removal or Ice Control service
","false",,
"553","7","1","0","129B.au","1","No service is required today.
","false","550","8"
"554","7","1","0","083-8.au","2","Please confirm:<br>No service is required today.
","false",,
"557","7","1","0","142J3.au","1","Estes Trucking","false",,
"559","7","1","0","033J13.au","1","Bank of America","false",,
"562","7","1","0","172A.au","1","You performed a Ice Control Only service
","false","561","1"
"563","7","1","0","101-1.au","2","Please confirm:<br>You performed a Ice Control Only service
","false",,
"566","7","1","0","172A.au","1","No service is required today.
","false","561","8"
"567","7","1","0","101-8.au","2","Please confirm:<br>No service is required today.
","false",,
"568","7","1","0","172A.au","1","You performed an approved above scope service
","false","561","9"
"569","7","1","0","101-9.au","2","Please confirm:<br>You performed an approved above scope service
","false",,
"570","7","1","0","101-Sub-2.au","1","You performed a 1"" push
","false","564","1"
"571","7","1","0","101-2-1.au","2","Please confirm:<br>You performed a 1"" push
","false",,
"572","7","1","0","101-Sub-2.au","1","You performed a 2"" push","false","564","2"
"573","7","1","0","101-2-2.au","2","Please confirm:<br>You performed a 2"" push","false",,
"574","7","1","0","101-Sub-2.au","1","You performed a 3"" push","false","564","3"
"575","7","1","0","101-2-3.au","2","Please confirm:<br>You performed a 3"" push","false",,
"576","7","1","0","101-Sub-2.au","1","You performed a push greater than 3""
","false","564","4"
"577","7","1","0","101-2-4.au","2","Please confirm:<br>You performed a push greater than 3""
","false",,
"582","7","1","0","163A.au","1","No service is required today.
","false","558","8"
"583","7","1","0","142-8.au","2","Please confirm:<br>No service is required today.
","false",,
"584","7","1","0","163A.au","1","You performed an approved above scope service
","false","558","9"
"585","7","1","0","142-9.au","2","Please confirm: You performed an approved above scope service
","false",,
